34,28
34,39
35,35
27,39
26,28
32,39
35,39
36,37
34,34
45,29
32,34
35,35
35,41
32,39
26,29
33,21
33,30
35,31
30,23
32,49
25,48
32,29
44,32
30,29
36,36
44,30
26,31
35,28
32,27
36,29
32,40
33,30
30,24
36,36
37,39
37,38
41,43
33,43
34,41
32,36
30,29
25,34
30,32
35,31
32,41
38,28
22,36
28,37
29,27
38,32
32,35
35,38
35,33
41,27
45,33
23,31
36,32
40,36
34,28
38,36
34,23
34,25
33,47
35,35
37,35
39,37
35,32
41,31
51,30
25,32
25,43
26,40
33,37
39,38
37,28
43,42
28,38
38,36
32,28
29,28
24,45
28,30
34,41
33,34
37,29
40,22
29,36
32,25
39,37
37,32
36,33
27,27
37,35
35,25
31,40
28,38
32,27
44,45
40,25
30,46
36,34
36,42
23,28
28,43
36,47
32,34
35,38
19,35
21,40
29,29
40,39
34,47
29,36
44,44
28,44
39,48
33,27
32,27
30,38
39,28
42,39
37,37
41,35
27,44
35,28
34,27
44,32
33,51
37,37
23,27
40,42
38,36
25,39
36,30
38,26
33,41
31,33
35,26
35,41
33,35
29,32
32,36
42,35
35,30
33,42
42,45
33,37
27,31
35,25
31,33
33,33
35,36
38,27
38,32
38,41
42,39
30,33
34,42
34,40
36,29
33,35
31,31
44,25
39,41
50,35
28,31
34,25
30,37
28,24
48,27
29,29
42,28
33,37
34,43
31,34
36,36
38,28
29,31
35,24
36,26
30,33
34,21
43,38
37,23
28,36
39,35
44,34
39,32
30,31
32,32
28,34
28,37
36,44
38,46
33,26
33,33
42,28
32,33
29,31
27,26
29,32
37,33
31,41
37,42
41,36
46,35
34,37
31,38
28,46
40,31
18,29
33,29
32,40
33,34
32,29
40,35
25,43
37,36
34,32
23,46
41,32
29,32
29,43
28,40
34,25
31,28
43,25
28,28
26,38
30,22
33,35
33,41
38,30
33,34
46,30
41,37
26,44
39,38
24,36
39,37
34,32
24,34
35,34
33,26
31,30
38,38
34,37
43,30
38,28
18,36
29,35
33,30
28,34
35,32
27,30
35,29
36,33
44,32
31,30
40,41
34,31
41,34
35,28
23,33
30,45
37,37
27,45
35,26
28,34
42,28
43,49
34,36
28,25
27,45
25,29
40,38
43,26
38,43
32,36
44,34
42,27
37,34
36,39
29,37
43,23
38,35
33,30
32,43
23,31
37,29
28,37
40,29
37,37
30,32
34,29
35,44
44,33
38,29
39,33
42,35
36,28
44,45
29,29
38,43
29,36
29,35
22,28
34,21
30,45
31,40
36,37
31,37
30,35
37,34
31,19
46,38
20,27
33,36
42,29
35,36
27,22
31,25
35,27
31,30
42,30
30,25
33,23
32,40
36,32
24,36
37,32
31,34
31,33
40,32
32,29
45,27
29,38
33,38
29,26
38,36
22,21
33,33
42,25
37,33
41,23
45,30
21,31
38,37
30,40
28,42
32,30
30,37
35,33
34,41
36,45
28,40
35,30
42,29
33,34
42,46
36,27
35,34
35,31
41,36
28,39
31,37
40,42
32,37
38,35
27,32
37,36
28,35
38,37
35,37
43,37
35,36
37,26
46,36
46,22
28,26
41,38
25,35
41,33
56,30
22,37
33,27
30,36
39,37
37,42
38,33
21,33
36,33
37,30
29,31
41,29
32,29
32,38
34,34
41,43
35,42
31,33
27,23
24,33
33,33
29,49
37,35
36,34
32,30
28,39
30,32
33,45
34,34
34,36
33,34
36,29
29,29
34,37
31,39
37,28
34,44
34,25
35,30
38,35
36,37
37,34
33,31
39,27
34,23
34,44
40,37
40,39
35,40
36,27
29,22
32,38
36,36
33,41
45,38
31,30
37,44
38,36
32,28
35,40
28,40
35,26
33,34
31,21
29,50
37,26
39,28
37,37
37,28
30,36
38,37
30,38
31,44
32,30
31,36
33,29
40,33
34,31
30,25
37,40
35,35
30,34
42,48
28,25
31,30
32,25
33,35
36,34
38,39
34,32
30,34
27,26
34,41
49,30
37,30
35,22
26,25
28,36
29,29
48,24
24,27
29,37
38,27
32,36
40,41
22,30
25,39
35,33
38,30
30,38
40,30
43,37
27,28
38,37
36,32
24,37
31,39
35,38
25,29
36,26
33,40
19,28
38,32
27,42
35,36
41,32
35,32
34,39
37,43
30,25
38,29
30,43
35,32
33,28
26,20
42,35
35,54
33,41
38,31
40,36
39,30
38,40
43,28
33,26
35,40
36,22
35,35
27,26
42,43
29,37
34,36
39,28
34,43
36,38
49,31
33,33
29,28
39,30
29,31
32,33
48,37
43,29
30,30
27,30
28,32
36,30
34,28
34,38
39,32
36,36
33,40
33,45
37,34
34,30
30,26
34,45
29,43
34,26
36,24
36,30
33,24
33,32
36,34
